,timer,WCR IN,Welding Current,Welding Voltage,X offset,Z offset,PLUS Integral,MINUS Integral,Standard_Arc_Current,ALL Integral,x up,x ui,z up,z ui,x,y,z,welding on/off polyscope,touch on/off polyscope,ratio_t,get_wcr polyscope,get_touch polyscope,write_welder,peak_vlaue,Arc_percent,set_current,set_voltage,set speed (cpm),set amplitude,set frequency,set x_offset,set z_offset,set rx,set ry
1745306714.0679262,4.176000118255615,0.0,357.0,29.970703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.386238098144531,1.518760085105896,0.05737088993191719,1.0,0.0,0.03658536449074745,1.0,0.0,1.0,50.0,5.0481276512146,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-75.09518432617188,40.0
1745306714.169578,4.28000020980835,0.0,368.0,29.841794967651367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9080605506896973,-0.23556135594844818,-0.05083410069346428,1.0,0.0,0.03658536449074745,1.0,0.0,1.0,0.0,56.5387077331543,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-75.09518432617188,40.0
1745306714.2712889,4.383999824523926,0.0,355.0,29.970703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5989117622375488,-1.6766053438186646,0.009709415026009083,1.0,0.0,0.03658536449074745,1.0,0.0,1.0,50.0,95.1770248413086,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-75.09518432617188,40.0
1745306714.3729944,4.48799991607666,0.0,334.0,29.938478469848633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7618978023529053,-1.1959645748138428,-0.022598935291171074,1.0,0.0,0.03658536449074745,1.0,0.0,1.0,0.0,17.733121871948242,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-75.09518432617188,40.0
1745306714.4748673,4.5920000076293945,0.0,350.0,30.1318359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.645321846008301,-0.2775280475616455,0.0032374123111367226,1.0,0.0,0.03658536449074745,1.0,0.0,1.0,0.0,41.992923736572266,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-75.09518432617188,40.0
1745306714.5766478,4.696000099182129,0.0,351.0,29.7451114654541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.514433860778809,0.5497685670852661,0.03950657323002815,1.0,0.0,0.03658536449074745,1.0,0.0,1.0,0.0,68.15715026855469,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-75.09518432617188,40.0
1745306714.6783285,4.791999816894531,0.0,354.0,29.8095703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1611967086792,1.2595945596694946,0.030704353004693985,1.0,0.0,0.03658536449074745,1.0,0.0,1.0,50.0,89.99166107177734,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-75.09518432617188,40.0
1745306714.7802365,4.895999908447266,0.0,358.0,30.099611282348633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.739880561828613,1.4013025760650635,0.09583614766597748,1.0,0.0,0.04878048598766327,1.0,0.0,1.0,50.0,7.422156810760498,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-74.6304931640625,40.0
1745306714.8815188,5.0,0.0,352.0,29.874019622802734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.305377960205078,-0.39549657702445984,0.019945794716477394,1.0,0.0,0.04878048598766327,1.0,0.0,1.0,0.0,58.98735809326172,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-74.6304931640625,40.0
1745306714.9831374,5.104000091552734,0.0,351.0,30.002927780151367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.995882987976074,-1.8173362016677856,-0.005003517493605614,1.0,0.0,0.04878048598766327,1.0,0.0,1.0,50.0,95.7720947265625,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-74.6304931640625,40.0
